step,t_si,Fx_si,Fy_si,Fz_si
100,2.500000e-03,3.411104e+05,-8.596376e-01,2.486882e+03
200,5.000000e-03,3.064229e+05,-1.921037e+01,1.451859e+04
300,7.500000e-03,3.048752e+05,-2.606620e+01,2.223471e+04
400,1.000000e-02,3.482782e+05,-5.304803e+01,2.443666e+04
500,1.250000e-02,3.149253e+05,-1.169765e+02,2.694390e+04
600,1.500000e-02,2.954755e+05,-1.297981e+02,2.137032e+04
700,1.750000e-02,3.299601e+05,-7.175022e+01,2.246278e+04
800,2.000000e-02,3.289304e+05,-1.115966e+02,2.583372e+04
900,2.250000e-02,3.014392e+05,-1.237997e+02,2.442620e+04
1000,2.500000e-02,2.182806e+06,2.838572e+02,2.092534e+06
1100,2.750000e-02,4.869488e+06,1.222936e+02,1.032947e+06
1200,3.000000e-02,3.106691e+06,3.062894e+02,1.558555e+05
1300,3.250000e-02,8.281789e+05,6.439875e+02,-9.361449e+04
1400,3.500000e-02,5.843513e+02,2.013354e+00,1.047374e+03
1500,3.750000e-02,5.994460e+02,1.771704e+00,1.044921e+03
1600,4.000000e-02,5.682996e+02,1.733423e+00,1.043699e+03
1700,4.250000e-02,5.629281e+02,1.184326e-01,1.043698e+03
1800,4.500000e-02,5.748410e+02,-2.841187e+00,1.046149e+03
1900,4.750000e-02,5.997766e+02,-1.242944e+00,1.047374e+03
2000,5.000000e-02,5.705294e+02,-2.132983e+00,1.044923e+03
2100,5.250000e-02,5.545589e+02,2.307641e+00,1.044923e+03
2200,5.500000e-02,5.790710e+02,1.465454e+00,1.043697e+03
2300,5.750000e-02,5.858156e+02,3.925024e+00,1.044922e+03
2400,6.000000e-02,5.974243e+02,1.398462e+00,1.044923e+03
2500,6.250000e-02,5.630360e+02,3.068481e-01,1.044923e+03
2600,6.500001e-02,5.702017e+02,-1.378125e+00,1.042472e+03
2700,6.750000e-02,5.916534e+02,-2.793260e+00,1.044924e+03
2800,7.000000e-02,5.984819e+02,-4.677490e-01,1.046149e+03
2900,7.250001e-02,5.770563e+02,-1.740002e+00,1.044924e+03
