x_v2_m,z_wand_m,winkel_grad,n_saeulen,ux_erstezelle_ms,ux_rel,cp_erstezelle,p_erstezelle_Pa,anteil_ux_negativ,umag_erstezelle_ms
1.60216,0.974,-0,21,5.86577,0.195526,0.113371,62.4957,0,6.65482
1.60616,0.974,-26.5651,21,1.95011,0.0650037,0.133362,73.5156,0,2.37032
1.61016,0.978,-26.5651,21,4.92862,0.164287,0.0964103,53.1462,0,5.50494
1.61416,0.978,-26.5651,21,1.95178,0.0650592,0.175505,96.7469,0,2.3839
1.61816,0.982,-26.5651,21,4.4951,0.149837,0.147462,81.2886,0,5.06294
1.62216,0.982,-26.5651,21,1.56624,0.0522078,0.142205,78.3908,0,1.96795
1.62616,0.986,-42.1376,21,3.46359,0.115453,0.226024,124.596,0,4.5445
1.63016,0.989238,-26.5651,21,5.18103,0.172701,0.102119,56.293,0,5.80374
1.63416,0.99,-30.7627,21,2.3211,0.0773699,0.168704,92.9983,0,2.91581
1.63816,0.994,-26.5651,21,5.77943,0.192648,0.0936165,51.6061,0,6.39961
1.64216,0.994,-26.5651,21,2.09899,0.0699662,0.130592,71.9887,0,2.53074
1.64616,0.998,-26.5651,21,5.35623,0.178541,0.107268,59.1315,0,5.92661
1.65016,0.998,-26.5651,21,1.96762,0.0655873,0.0828704,45.6823,0,2.395
1.65416,1.002,-26.5651,21,4.9811,0.166037,0.0641962,35.3882,0,5.57289
1.65816,1.002,-26.5651,21,1.91232,0.0637441,0.113305,62.4593,0,2.312
1.66216,1.006,-43.6028,21,3.72097,0.124032,0.151236,83.3686,0,4.96014
1.66616,1.00962,-26.5651,21,6.44041,0.21468,-0.0172987,-9.5359,0,7.1877
1.67016,1.01,-28.706,21,2.74975,0.0916582,0.0993836,54.7852,0,3.38348
1.67416,1.014,-26.5651,21,6.41005,0.213668,-0.0311722,-17.1837,0,7.05839
1.67816,1.014,-26.5651,21,2.47037,0.0823457,0.0664729,36.6432,0,2.98751
1.68216,1.018,-26.5651,21,6.07485,0.202495,0.0101893,5.61688,0,6.61428
