x_v2_m,z_wand_m,winkel_grad,n_saeulen,ux_erstezelle_ms,ux_rel,cp_erstezelle,p_erstezelle_Pa,anteil_ux_negativ,umag_erstezelle_ms
1.60216,0.974,-0,21,4.18558,0.139519,-0.222242,-122.511,0,5.04699
1.60616,0.974,-26.5651,21,0.716408,0.0238803,-0.55288,-304.775,0,1.40084
1.61016,0.978,-26.5651,21,3.44316,0.114772,-0.401265,-221.197,0,3.96354
1.61416,0.978,-26.5651,21,0.911583,0.0303861,-0.308819,-170.236,0.047619,1.25498
1.61816,0.982,-26.5651,21,3.67328,0.122443,-0.396281,-218.45,0,4.0228
1.62216,0.982,-26.5651,21,1.33138,0.0443794,-0.225224,-124.154,0.0952381,1.80864
1.62616,0.986,-42.1376,21,2.4815,0.0827167,-0.295209,-162.734,0.047619,3.34235
1.63016,0.989238,-26.5651,21,4.21278,0.140426,-0.0564185,-31.1007,0.047619,4.81399
1.63416,0.99,-30.7627,21,1.36341,0.045447,-0.17834,-98.3098,0.0952381,1.76756
1.63816,0.994,-26.5651,21,3.87304,0.129101,0.0992252,54.6979,0,4.41186
1.64216,0.994,-26.5651,21,0.957566,0.0319189,-0.0883943,-48.7274,0.0952381,1.57848
1.64616,0.998,-26.5651,21,3.05921,0.101974,0.0898899,49.5518,0,3.54679
1.65016,0.998,-26.5651,21,0.73745,0.0245817,0.250074,137.853,0.047619,0.989283
1.65416,1.002,-26.5651,21,2.93222,0.0977407,0.158151,87.1806,0,3.4696
1.65816,1.002,-26.5651,21,0.708858,0.0236286,0.487481,268.724,0.285714,1.91638
1.66216,1.006,-43.6028,21,1.90824,0.0636082,0.269394,148.504,0.190476,3.1217
1.66616,1.00962,-26.5651,21,3.7393,0.124643,0.343159,189.167,0.0952381,4.46805
1.67016,1.01,-28.706,21,1.17377,0.0391258,0.434399,239.463,0.0952381,1.67381
1.67416,1.014,-26.5651,21,3.47864,0.115955,0.183369,101.082,0,4.0807
1.67816,1.014,-26.5651,21,1.10921,0.0369736,0.213257,117.558,0.047619,1.74
1.68216,1.018,-26.5651,21,3.14263,0.104754,-0.0353367,-19.4794,0,3.78633
1.68616,1.018,-26.5651,21,0.901999,0.0300666,0.049105,27.0691,0.0952381,1.4739
1.69016,1.022,-26.5651,21,2.34559,0.0781865,-0.119075,-65.6401,0,3.50971
1.69416,1.022,-26.5651,21,-0.1315,-0.00438332,-0.133359,-73.5141,0.666667,1.37742
1.69816,1.026,-45,21,-0.106047,-0.00353489,-0.29268,-161.34,0.714286,1.82443
1.70216,1.03,-26.5651,21,4.18694,0.139565,-0.315157,-173.73,0,5.17734
1.70616,1.03,-24.3411,21,-0.318409,-0.0106136,-0.807458,-445.111,0.571429,0.993739
1.71016,1.03362,-26.5651,21,4.11151,0.13705,-0.436083,-240.391,0.0952381,4.79133
1.71416,1.034,-17.1985,21,0.903495,0.0301165,-0.57517,-317.062,0,1.31167
1.71816,1.0361,-26.5651,21,2.5682,0.0856068,-0.637743,-351.556,0.238095,3.2579
1.72216,1.038,-24.3411,21,2.55697,0.0852324,-0.375454,-206.969,0,2.93076
1.72616,1.03971,-26.5651,21,2.47819,0.0826063,-0.54088,-298.16,0,2.96944
1.73016,1.042,-26.5651,21,2.90488,0.0968294,-0.386985,-213.325,0,3.34934
1.73416,1.04371,-26.5651,21,2.71972,0.0906573,-0.528653,-291.42,0.047619,3.22369
1.73816,1.046,-24.3411,21,2.94557,0.0981856,-0.280101,-154.406,0.0952381,3.26792
1.74216,1.04733,-26.5651,21,2.12685,0.0708951,-0.161356,-88.9475,0,2.61498
