x_v2_m,z_wand_m,winkel_grad,n_saeulen,ux_erstezelle_ms,ux_rel,cp_erstezelle,p_erstezelle_Pa,anteil_ux_negativ,umag_erstezelle_ms
1.60216,0.974,-0,21,4.67136,0.155712,-0.0360045,-19.8475,0,5.31865
1.60616,0.974,-26.5651,21,1.50524,0.0501748,-0.0201846,-11.1268,0,1.8713
1.61016,0.978,-26.5651,21,4.12428,0.137476,0.0023931,1.3192,0,4.63358
1.61416,0.978,-26.5651,21,1.37428,0.0458092,0.0174901,9.64141,0,1.69606
1.61816,0.982,-26.5651,21,3.93468,0.131156,-0.0122094,-6.73042,0,4.45074
1.62216,0.982,-26.5651,21,1.29166,0.0430554,-0.0326587,-18.0031,0,1.62168
1.62616,0.986,-42.1376,21,3.12523,0.104174,-0.00589495,-3.24959,0,4.07838
1.63016,0.989238,-26.5651,21,4.69118,0.156373,-0.107549,-59.2863,0,5.30441
1.63416,0.99,-30.7627,21,2.14427,0.0714758,-0.0689707,-38.0201,0,2.7329
1.63816,0.994,-26.5651,21,5.40979,0.180326,-0.0812571,-44.793,0,6.04782
1.64216,0.994,-26.5651,21,1.78973,0.0596578,-0.073107,-40.3002,0,2.18497
1.64616,0.998,-26.5651,21,5.12318,0.170773,-0.0590128,-32.5308,0,5.6331
1.65016,0.998,-26.5651,21,1.80277,0.0600922,-0.109132,-60.159,0,2.21191
1.65416,1.002,-26.5651,21,5.05092,0.168364,-0.0946822,-52.1936,0,5.58844
1.65816,1.002,-26.5651,21,1.70663,0.0568878,-0.0438179,-24.1546,0,2.08876
1.66216,1.006,-43.6028,21,3.83888,0.127963,-0.0471219,-25.976,0,5.04012
1.66616,1.00962,-26.5651,21,6.22954,0.207651,-0.143281,-78.9838,0,6.9392
1.67016,1.01,-28.706,21,2.34077,0.0780256,-0.128951,-71.0844,0,2.88883
1.67416,1.014,-26.5651,21,6.38985,0.212995,-0.0685626,-37.7951,0,7.03345
1.67816,1.014,-26.5651,21,2.13294,0.0710979,-0.0974955,-53.7444,0,2.55344
1.68216,1.018,-26.5651,21,6.02853,0.200951,-0.070586,-38.9105,0,6.56454
1.68616,1.018,-26.5651,21,2.24007,0.0746691,-0.054564,-30.0784,0,2.66919
1.69016,1.022,-26.5651,21,5.87215,0.195738,-0.105312,-58.0532,0,6.48563
1.69416,1.022,-26.5651,21,2.11716,0.070572,-0.00723682,-3.9893,0,2.55526
1.69816,1.026,-45,21,4.11376,0.137125,-0.013675,-7.53837,0,5.6637
1.70216,1.03,-26.5651,21,7.52878,0.250959,-0.203198,-112.013,0,8.41422
1.70616,1.03,-24.3411,21,2.4961,0.0832035,-0.220261,-121.419,0,3.00565
1.71016,1.03362,-26.5651,21,6.20986,0.206995,-0.185096,-102.034,0,6.94262
1.71416,1.034,-17.1985,21,2.93141,0.0977138,-0.216994,-119.618,0,3.32153
1.71816,1.0361,-26.5651,21,3.58885,0.119628,-0.200562,-110.56,0,4.12909
1.72216,1.038,-24.3411,21,3.30916,0.110305,-0.160628,-88.5462,0,3.71328
1.72616,1.03971,-26.5651,21,3.26145,0.108715,-0.197026,-108.61,0,3.74864
1.73016,1.042,-26.5651,21,3.68253,0.122751,-0.126623,-69.8011,0,4.14739
1.73416,1.04371,-26.5651,21,3.634,0.121133,-0.227849,-125.602,0,4.16504
1.73816,1.046,-24.3411,21,4.10688,0.136896,-0.199367,-109.901,0,4.59789
1.74216,1.04733,-26.5651,21,3.14148,0.104716,-0.285159,-157.194,0,3.63805
1.74616,1.05,-24.3411,21,4.30592,0.143531,-0.297703,-164.109,0,4.80225
