x_v2_m,z_wand_m,winkel_grad,n_saeulen,ux_erstezelle_ms,ux_rel,cp_erstezelle,p_erstezelle_Pa,anteil_ux_negativ,umag_erstezelle_ms
1.60216,0.972,-45,11,1.23563,0.0411878,0.0141792,7.81631,0,1.54844
1.61016,0.98,-45,11,2.32916,0.0776387,0.0496341,27.3608,0,3.3334
1.61816,0.988,-26.5651,11,4.79003,0.159668,-0.0381772,-21.0452,0,5.31968
1.62616,0.988,-26.5651,11,1.41703,0.0472344,8.8624e-05,0.048854,0,1.76318
1.63416,0.996,-26.5651,11,4.8922,0.163073,-0.0300006,-16.5378,0,5.26739
1.64216,0.996,-26.5651,11,1.5696,0.0523201,0.0327178,18.0357,0,1.92752
1.65016,1.004,-26.5651,11,5.05286,0.168429,-0.0326169,-17.9801,0,5.3693
1.65816,1.004,-26.5651,11,1.82762,0.0609205,0.0214394,11.8185,0,2.23683
1.66616,1.012,-26.5651,11,5.08922,0.169641,-0.0355306,-19.5863,0,5.49281
1.67416,1.012,-26.5651,11,1.81152,0.060384,0.0166569,9.1821,0,2.28178
1.68216,1.02,-45,11,3.43607,0.114536,0.029982,16.5276,0,4.83268
1.69016,1.028,-26.5651,11,6.9599,0.231997,-0.151062,-83.2729,0,7.72549
1.69816,1.028,-26.5651,11,2.00442,0.0668141,-0.148161,-81.6738,0,2.50515
1.70616,1.036,-26.5651,11,6.62266,0.220755,-0.178903,-98.6202,0,7.22311
1.71416,1.036,-26.5651,11,2.10833,0.0702776,-0.0865101,-47.6887,0,2.63304
1.72216,1.044,-26.5651,11,6.58173,0.219391,-0.183949,-101.402,0,7.16945
1.73016,1.044,-26.5651,11,2.18654,0.0728845,-0.0791684,-43.6416,0,2.71826
1.73816,1.052,-26.5651,11,6.64393,0.221464,-0.184498,-101.705,0,7.23181
1.74616,1.052,-26.5651,11,2.22696,0.0742321,-0.093157,-51.3528,0,2.75647
1.75416,1.06,-26.5651,11,6.70013,0.223338,-0.199942,-110.218,0,7.31781
1.76216,1.06,-26.5651,11,2.19919,0.0733063,-0.114402,-63.064,0,2.71014
1.77016,1.068,-26.5651,11,6.84599,0.2282,-0.231781,-127.769,0,7.45438
1.77816,1.068,-26.5651,11,2.26833,0.075611,-0.122643,-67.607,0,2.81695
1.78616,1.076,-26.5651,11,6.93519,0.231173,-0.274851,-151.512,0,7.56276
1.79416,1.076,-26.5651,11,2.34809,0.0782695,-0.144908,-79.8804,0,2.86386
1.80216,1.084,-26.5651,11,7.32115,0.244038,-0.313869,-173.02,0,7.91008
1.81016,1.084,-7.76517,11,3.16969,0.105656,-0.197483,-108.863,0,3.42863
1.81816,1.08618,-26.5651,11,3.07739,0.10258,-0.266171,-146.727,0,3.40371
1.82616,1.092,-19.9831,11,4.90192,0.163397,-0.229651,-126.595,0,5.10296
1.83416,1.092,-26.5651,11,1.6797,0.05599,-0.211909,-116.815,0,2.03846
1.84216,1.1,-26.5651,11,6.67491,0.222497,-0.276198,-152.254,0,7.00083
1.85016,1.1,-26.5651,11,2.46683,0.0822275,-0.193408,-106.616,0,2.98085
1.85816,1.108,-26.5651,11,7.51643,0.250548,-0.337007,-185.775,0,8.03452
1.86616,1.108,-0,11,3.62886,0.120962,-0.29543,-162.856,0,3.8025
1.87416,1.108,-26.5651,11,1.04051,0.0346836,-0.334873,-184.599,0,1.27922
1.88216,1.116,-26.5651,11,5.471,0.182367,-0.321715,-177.345,0,5.74712
1.89016,1.116,-26.5651,11,1.97847,0.0659489,-0.31327,-172.69,0,2.41781
1.89816,1.124,-26.5651,11,7.24144,0.241381,-0.379043,-208.947,0,7.68661
1.90616,1.124,-0,11,3.7294,0.124313,-0.377076,-207.863,0,3.88781
