x_v2_m,z_wand_m,winkel_grad,n_saeulen,ux_erstezelle_ms,ux_rel,cp_erstezelle,p_erstezelle_Pa,anteil_ux_negativ,umag_erstezelle_ms
1.60216,0.972,-45,11,2.44787,0.0815955,0.00458791,2.52909,0,2.9359
1.61016,0.98,-45,11,3.85414,0.128471,0.0907037,50.0004,0,5.21168
1.61816,0.988,-26.5651,11,6.81324,0.227108,-0.0416489,-22.959,0,7.53974
1.62616,0.988,-26.5651,11,3.13012,0.104337,0.00703985,3.88072,0,3.67224
1.63416,0.996,-26.5651,11,6.7633,0.225443,-0.0981835,-54.1237,0,7.3952
1.64216,0.996,-26.5651,11,2.7668,0.0922267,0.00538553,2.96877,0,3.23778
1.65016,1.004,-26.5651,11,6.42021,0.214007,-0.113752,-62.7061,0,6.93369
1.65816,1.004,-26.5651,11,3.07086,0.102362,-0.0240332,-13.2483,0,3.58736
1.66616,1.012,-26.5651,11,6.59583,0.219861,-0.0905695,-49.9264,0,7.16587
1.67416,1.012,-26.5651,11,2.6334,0.0877801,-0.0783124,-43.1697,0,3.13367
1.68216,1.02,-45,11,5.09645,0.169882,0.0500567,27.5937,0,6.85249
1.69016,1.028,-26.5651,11,8.72667,0.290889,-0.146605,-80.8161,0,9.54428
1.69816,1.028,-26.5651,11,3.78666,0.126222,-0.120909,-66.6508,0,4.48936
1.70616,1.036,-26.5651,11,7.80776,0.260259,-0.148543,-81.8845,0,8.52615
1.71416,1.036,-26.5651,11,3.22684,0.107561,-0.0743224,-40.9702,0,3.79065
1.72216,1.044,-26.5651,11,7.10534,0.236845,-0.211344,-116.503,0,7.83036
1.73016,1.044,-26.5651,11,2.78803,0.0929344,-0.123908,-68.3041,0,3.27903
1.73816,1.052,-26.5651,11,6.9404,0.231347,-0.215227,-118.644,0,7.55465
1.74616,1.052,-26.5651,11,2.73862,0.0912872,-0.212694,-117.248,0,3.2212
1.75416,1.06,-26.5651,11,6.74322,0.224774,-0.272981,-150.481,0,7.32893
1.76216,1.06,-26.5651,11,2.32634,0.0775448,-0.222696,-122.761,0,2.80663
1.77016,1.068,-26.5651,11,7.2298,0.240993,-0.268399,-147.955,0,7.7071
1.77816,1.068,-26.5651,11,3.24432,0.108144,-0.143012,-78.8354,0,3.7956
1.78616,1.076,-26.5651,11,7.46629,0.248876,-0.301768,-166.349,0,7.99405
1.79416,1.076,-26.5651,11,3.29614,0.109871,-0.215745,-118.929,0,3.82979
1.80216,1.084,-26.5651,11,7.79683,0.259894,-0.320585,-176.723,0,8.3998
1.81016,1.084,-7.76517,11,3.92773,0.130924,-0.287829,-158.665,0,4.19733
1.81816,1.08618,-26.5651,11,3.14885,0.104962,-0.196716,-108.44,0,3.74961
1.82616,1.092,-19.9831,11,5.42738,0.180913,-0.294961,-162.597,0,5.73586
1.83416,1.092,-26.5651,11,2.3083,0.0769435,-0.269636,-148.637,0,2.86813
1.84216,1.1,-26.5651,11,6.97652,0.232551,-0.312395,-172.208,0,7.43915
1.85016,1.1,-26.5651,11,3.00698,0.100233,-0.311571,-171.754,0,3.66103
1.85816,1.108,-26.5651,11,8.10369,0.270123,-0.364327,-200.835,0,8.75148
1.86616,1.108,-0,11,3.76771,0.12559,-0.349638,-192.738,0,4.11226
1.87416,1.108,-26.5651,11,0.539983,0.0179994,-0.361732,-199.405,0,1.17583
1.88216,1.116,-26.5651,11,6.10054,0.203351,-0.313702,-172.928,0,6.56787
1.89016,1.116,-26.5651,11,2.21883,0.0739609,-0.403942,-222.673,0,2.95995
1.89816,1.124,-26.5651,11,8.22497,0.274166,-0.396145,-218.375,0,8.87623
1.90616,1.124,-0,11,4.1568,0.13856,-0.392245,-216.225,0,4.49656
1.91416,1.124,-26.5651,11,0.854697,0.0284899,-0.45079,-248.498,0,1.34755
1.92216,1.132,-26.5651,11,7.39719,0.246573,-0.332399,-183.235,0,7.85978
1.93016,1.132,-0,11,3.89383,0.129794,-0.483154,-266.339,0,4.15262
1.93816,1.132,-26.5651,11,1.10304,0.036768,-0.516186,-284.547,0,1.56161
1.94616,1.14,-26.5651,11,7.12538,0.237513,-0.500712,-276.017,0,7.54865
1.95416,1.14,-26.5651,11,3.2558,0.108527,-0.407481,-224.624,0,3.91233
1.96216,1.148,-26.5651,11,9.19125,0.306375,-0.355867,-196.172,0,9.88536
1.97016,1.148,-26.5651,11,3.38508,0.112836,-0.483663,-266.619,0,4.10143
1.97816,1.156,-26.5651,11,11.8445,0.394817,-0.494927,-272.829,0,12.5699
1.98616,1.156,-0,11,6.53498,0.217833,-0.755083,-416.24,0,6.74524
1.99416,1.156,-0,11,2.98522,0.0995074,-0.691336,-381.099,0,3.07892
2.00216,1.156,-26.5651,11,1.13825,0.0379415,-0.530957,-292.69,0,1.35944
2.01016,1.164,-26.5651,11,8.36769,0.278923,-0.585348,-322.673,0,8.67829
2.01816,1.164,-0,11,4.63915,0.154638,-0.728515,-401.594,0,4.7585
2.02616,1.164,-0,11,2.52782,0.0842605,-0.699863,-385.8,0,2.56282
2.03416,1.164,-26.5651,11,0.90677,0.0302257,-0.284009,-156.56,0,1.27337
2.04216,1.172,-26.5651,11,8.41242,0.280414,-0.578437,-318.864,0,8.66574
2.05016,1.172,-0,11,5.70844,0.190281,-0.612086,-337.412,0,5.76455
2.05816,1.172,-0,11,4.06376,0.135459,-0.691416,-381.143,0,4.09215
2.06616,1.172,-0,11,3.04329,0.101443,-0.561764,-309.673,0,3.08152
2.07416,1.172,-0,11,2.0938,0.0697934,-0.484064,-266.84,0,2.16019
2.08216,1.172,-26.5651,11,0.965625,0.0321875,-0.625719,-344.928,0,1.1124
2.09016,1.18,-26.5651,11,7.35642,0.245214,-0.571253,-314.903,0,7.52426
2.09816,1.18,-0,11,5.24198,0.174733,-0.59512,-328.06,0,5.29712
2.10616,1.18,-0,11,3.94737,0.131579,-0.580312,-319.897,0,4.05003
2.11416,1.18,-0,11,3.49088,0.116363,-0.534339,-294.554,0,3.6258
2.12216,1.18,-0,11,3.16055,0.105352,-0.522812,-288.2,0,3.25744
2.13016,1.18,-0,11,2.76455,0.0921517,-0.516452,-284.694,0,2.87735
2.13816,1.18,-0,11,2.32266,0.0774219,-0.487714,-268.852,0,2.43071
2.14616,1.18,-0,11,1.64291,0.0547636,-0.47878,-263.928,0.181818,1.81472
2.15416,1.18,-0,11,1.20392,0.0401307,-0.505957,-278.909,0.181818,1.4709
2.16216,1.18,-0,11,1.04756,0.0349187,-0.479434,-264.288,0.181818,1.31713
2.17016,1.18,-26.5651,11,0.411416,0.0137139,-0.47012,-259.154,0.181818,0.7519
2.17816,1.188,-26.5651,11,5.03459,0.16782,-0.468733,-258.389,0,5.09934
2.18616,1.188,-0,11,3.83048,0.127683,-0.487091,-268.509,0,3.88946
2.19416,1.188,-0,11,2.70199,0.0900664,-0.505508,-278.661,0,2.7552
2.20216,1.188,-0,11,2.40285,0.0800951,-0.466015,-256.891,0,2.47107
2.21016,1.188,-0,11,2.31014,0.0770046,-0.468508,-258.265,0,2.45206
2.21816,1.188,-0,11,1.77705,0.0592348,-0.464359,-255.978,0,2.02281
2.22616,1.188,-0,11,1.15211,0.0384036,-0.451006,-248.617,0.181818,1.58982
2.23416,1.188,-0,11,0.73534,0.0245113,-0.449564,-247.822,0.272727,1.32324
2.24216,1.188,-0,11,0.30962,0.0103207,-0.454295,-250.43,0.363636,1.10938
2.25016,1.188,-0,11,-0.0453763,-0.00151254,-0.445011,-245.313,0.454545,0.912745
2.25816,1.188,-0,11,-0.25464,-0.00848802,-0.444422,-244.988,0.545455,0.839348
2.26616,1.188,-0,11,-0.21417,-0.00713901,-0.439171,-242.093,0.454545,0.705555
2.27416,1.188,-0,11,-0.0785471,-0.00261824,-0.438315,-241.621,0.454545,0.624647
2.28216,1.188,-0,11,-0.00364939,-0.000121646,-0.430962,-237.568,0.545455,0.550797
2.29016,1.188,-0,11,-0.0140156,-0.000467186,-0.428575,-236.252,0.636364,0.518499
2.29816,1.188,-0,11,-0.168242,-0.00560806,-0.400625,-220.845,0.636364,0.54998
2.30616,1.188,-0,11,-0.338567,-0.0112856,-0.423785,-233.612,0.636364,0.636652
2.31416,1.188,-0,11,-0.584969,-0.019499,-0.410241,-226.145,0.818182,0.797873
2.32216,1.188,-0,11,-0.568142,-0.0189381,-0.402727,-222.003,0.818182,0.788814
2.33016,1.188,-0,11,-0.406135,-0.0135378,-0.411721,-226.961,0.818182,0.772643
2.33816,1.188,-0,11,-0.418547,-0.0139516,-0.385805,-212.675,0.727273,0.845524
2.34616,1.188,-26.5651,11,-0.198184,-0.00660615,-0.410808,-226.458,0.727273,0.629669
2.35416,1.196,-26.5651,11,1.07908,0.0359693,-0.396806,-218.739,0.0909091,1.23737
2.36216,1.196,-0,11,0.989389,0.0329796,-0.401392,-221.267,0.181818,1.18449
