x_of13_m,x_v2_m,z_m,winkel_grad,n_facetten,tau_t_m2s2,cf,cp_wand,p_wand_Pa,wandabstand_m,u_erstezelle_ms
-2.20425,0.00204594,0.100528,28.048,70,-1.00846,-0.00224101,-0.341352,-188.171,0.000304259,22.0658
-2.19462,0.0116797,0.095395,27.8134,40,-1.35835,-0.00301855,-0.124071,-68.3944,0.000310096,13.1183
-2.18523,0.0210657,0.0904941,26.4406,40,-2.14677,-0.00477059,-0.314863,-173.568,0.000312515,17.9506
-2.17435,0.0319469,0.0853164,14.8323,50,-3.29465,-0.00732145,-0.718043,-395.821,0.000312406,23.2307
-2.16399,0.0423087,0.0848686,2.93111,40,-2.69935,-0.00599855,-0.446503,-246.135,0.000312405,19.2941
-2.1541,0.0521998,0.0842794,1.69123,40,-2.17632,-0.00483627,-0.29865,-164.631,0.000312474,16.7681
-2.14466,0.0616392,0.0842979,-0.307192,40,-1.55026,-0.00344503,-0.158549,-87.4004,0.000312499,13.864
-2.13511,0.0711865,0.0843812,-0.499995,40,-1.2961,-0.00288022,-0.0954725,-52.6292,0.000312496,12.7147
-2.12557,0.0807335,0.0844645,-0.499995,40,-1.24354,-0.00276342,-0.0559556,-30.8455,0.000312499,12.391
-2.11613,0.0901708,0.0845469,-0.500002,40,-1.27352,-0.00283005,-0.0282287,-15.5611,0.000312505,12.3959
-2.10624,0.100063,0.0846332,-0.500005,40,-1.31971,-0.0029327,-0.00726672,-4.00578,0.000312499,12.3823
-2.09685,0.109451,0.0847151,-0.5,40,-1.35365,-0.00300812,0.00945504,5.21209,0.000312496,12.2007
-2.08498,0.121321,0.0848187,-0.500003,60,-1.34946,-0.0029988,0.0249782,13.7692,0.000312502,11.6402
-2.07304,0.133257,0.0849229,-85.579,40,-0.120206,-0.000267124,0.0356443,19.6489,0.000312489,11.9179
-2.06255,0.143749,0.374908,-86.793,100,-0.594965,-0.00132215,0.936802,516.412,0.000316794,8.65702
-2.0547,0.151595,0.412215,-75.7467,100,-1.20689,-0.00268198,0.726311,400.379,0.000312601,14.6927
-2.04555,0.160746,0.441818,-70.8286,90,-1.91526,-0.00425614,0.467567,257.747,0.000312553,19.664
-2.03574,0.170564,0.466773,-62.0988,70,-3.56285,-0.00791745,-0.16684,-91.9704,0.000312737,29.0901
-2.02483,0.181468,0.480954,-45.4426,20,-3.92125,-0.0087139,-0.56047,-308.959,0.000312205,28.3017
-2.01542,0.190876,0.487401,-33.1811,20,-2.33762,-0.0051947,-0.189245,-104.321,0.000312609,20.4775
-2.00574,0.200561,0.493439,-31.8513,20,-1.69698,-0.00377108,-0.0634391,-34.9708,0.000312555,17.1597
-1.99604,0.210259,0.499443,-31.6451,20,-1.59016,-0.00353369,-0.027173,-14.9791,0.000312488,16.7651
-1.98633,0.219968,0.505399,-29.8375,20,-1.81218,-0.00402706,-0.0486557,-26.8214,0.000312507,18.3519
-1.97451,0.23179,0.511793,-27.9002,30,-1.64407,-0.00365349,0.0100607,5.54599,0.000312566,16.9554
-1.96362,0.242675,0.517422,-27.2209,14,-1.5199,-0.00337755,0.0605639,33.3859,0.000312556,16.2301
-1.95437,0.251931,0.522153,-27.1919,26,-1.51159,-0.00335908,0.0812374,44.7821,0.000312544,16.2114
-1.9437,0.262597,0.527657,-27.2706,20,-1.54051,-0.00342335,0.0957098,52.76,0.000312552,16.4451
-1.93348,0.272818,0.53292,-27.2459,20,-1.5848,-0.00352178,0.101027,55.6913,0.000312502,16.7855
-1.92459,0.281708,0.537498,-26.7812,20,-1.65038,-0.00366751,0.0958612,52.8435,0.000312665,17.2767
-1.91453,0.291772,0.542486,-25.7444,20,-1.68027,-0.00373393,0.090515,49.8964,0.000312636,17.4452
-1.90545,0.30085,0.546729,-24.9875,20,-1.5526,-0.00345022,0.127691,70.3898,0.000312452,16.5363
-1.89554,0.31076,0.551336,-24.9344,20,-1.474,-0.00327555,0.149512,82.4183,0.000312511,16.0614
-1.88629,0.320009,0.555636,-24.9381,20,-1.41015,-0.00313366,0.169778,93.5904,0.000312616,15.6302
-1.8767,0.329599,0.560096,-24.9452,20,-1.33322,-0.00296271,0.193867,106.869,0.000312442,15.0732
-1.86702,0.339279,0.564599,-26.7367,20,-1.18178,-0.00262617,0.231489,127.608,0.000312337,13.8958
-1.85505,0.35125,0.571003,-29.4869,30,-1.24206,-0.00276014,0.233103,128.498,0.000312418,14.5922
-1.84349,0.362813,0.577907,-9.43014,20,-1.40996,-0.00313325,0.172755,95.2312,0.000312612,16.6023
-1.83357,0.372729,0.57457,-7.11074,30,-1.16822,-0.00259604,0.283923,156.513,0.000260627,14.1041
-1.82369,0.38261,0.580377,-47.0706,30,-1.47231,-0.0032718,0.215874,119,0.000260796,16.1887
-1.81413,0.392174,0.595473,-47.234,20,-1.74687,-0.00388194,0.0846533,46.6651,0.000312506,18.6055
-1.80428,0.402023,0.601366,-30.8923,20,-1.90438,-0.00423196,0.0549302,30.2803,0.000312553,19.1232
-1.79565,0.410649,0.606527,-30.8921,20,-1.98118,-0.00440262,0.0259073,14.2814,0.000312567,19.5957
